symbol,ex_date,amount
AAPL,2021-11-05,0.22
AAPL,2022-02-04,0.22
AAPL,2022-05-06,0.23
AAPL,2022-08-05,0.23
AAPL,2022-11-04,0.23
AAPL,2023-02-10,0.23
AAPL,2023-05-12,0.24
AAPL,2023-08-11,0.24
AAPL,2023-11-10,0.24
AAPL,2024-02-09,0.24
AAPL,2024-05-10,0.25
AAPL,2024-08-12,0.25
AAPL,2024-11-08,0.25
AAPL,2025-02-10,0.25
AAPL,2025-05-12,0.26
AAPL,2025-08-11,0.26
AAPL,2025-11-10,0.26
AAPL,2026-02-09,0.26
AAPL,2026-05-11,0.27
AAPL,2026-08-10,0.27
NVDA,2021-12-01,0.004
NVDA,2022-03-02,0.004
NVDA,2022-06-08,0.004
NVDA,2022-09-07,0.004
NVDA,2022-11-30,0.004
NVDA,2023-03-07,0.004
NVDA,2023-06-07,0.004
NVDA,2023-09-06,0.004
NVDA,2023-12-05,0.004
NVDA,2024-03-05,0.004
NVDA,2024-06-11,0.01
NVDA,2024-09-12,0.01
NVDA,2024-12-05,0.01
NVDA,2025-03-12,0.01
NVDA,2025-06-11,0.01
NVDA,2025-09-11,0.01
NVDA,2025-12-04,0.01
NVDA,2026-03-11,0.01
NVDA,2026-06-04,0.25
NVDA,2026-09-10,0.25
SPY,2021-09-17,1.428
SPY,2021-12-17,1.633
SPY,2022-03-18,1.366
SPY,2022-06-17,1.577
SPY,2022-09-16,1.596
SPY,2022-12-16,1.781
SPY,2023-03-17,1.506
SPY,2023-06-16,1.638
SPY,2023-09-15,1.583
SPY,2023-12-15,1.906
SPY,2024-03-15,1.595
SPY,2024-06-21,1.759
SPY,2024-09-20,1.746
SPY,2024-12-20,1.966
SPY,2025-03-21,1.696
SPY,2025-06-20,1.761
SPY,2025-09-19,1.831
SPY,2025-12-19,1.993
SPY,2026-03-20,1.797
SPY,2026-06-18,1.904
